3 weeks,500,1000,,,,
1 day,500,1000,,,,
2 years,500,1000,,,,
4 hours,500,1000,,,,
4 days,500,1000,,,,
4 months,500,1000,,,,
8 years,500,1000,,,,
2 hours,500,1000,,,,
9 hours,500,1000,,,,
2 days,500,1000,,,,
1½ weeks,500,1000,,,,
2 months,500,1000,,,,
8 months,500,1000,,,,
4 years,500,1000,,,,
18 years,500,1000,,,,
1 hour,500,1000,24,16.97056275,0.041666667,0.058925565
3 hours,500,1000,9.797958971,6.92820323,0.102062073,0.144337567
6 hours,500,1000,4.898979486,3.265986324,0.204124145,0.306186218
12 hours,500,1000,2.309401077,1.414213562,0.433012702,0.707106781
1½ days,500,1000,0.816496581,0.577350269,1.224744871,1.732050808
3 days,500,1000,0.40824829,0.288675135,2.449489743,3.464101615
1 week,500,1000,0.188982237,0.116642369,5.291502622,8.5732141
2 weeks,500,1000,0.08247861,0.058321184,12.12435565,17.1464282
1 month,500,1000,0.039551962,0.023229526,25.283196,43.04866084
3 months,500,1000,0.013411573,0.009483414,74.56246777,105.4472532
6 months,500,1000,0.006705787,0.004741707,149.1249355,210.8945063
1 year,500,1000,0.003353031,0.001935953,298.2376234,516.5415037
3 years,500,1000,0.001117723,0.000790349,894.6761286,1265.263115
5 years,500,1000,0.000612202,0.000432892,1633.447658,2310.043831
12 years,500,1000,0.000279431,0.000186287,3578.704514,5368.056771
25 years,500,1000,0.000129064,0.000109514,7748.122555,9131.25
