Participant	Smoker	Money_1	Money_2	Money_3	Money_4	Money_5	Money_6
2	0	0.999	0.9795	0.749	0.4932	0.0986	0.04
3	0	0.96	0.749	0.7178	0.2393	0.1807	0.0557
5	0	0.9912	0.8994	0.9033	0.7295	0.6865	0.1943
6	0	0.9932	0.9033	0.9385	0.876	0.585	0.0029
10	0	0.9053	0.9014	0.9053	0.8896	0.3994	0.1943
11	0	0.9756	0.9502	0.9502	0.8994	0.749	0.499
12	0	0.999	0.999	0.999	0.999	0.9971	0.9971
15	0	0.9307	0.9307	0.9307	0.9307	0.7471	0.2471
17	0	0.9053	0.749	0.7197	0.249	0.0615	0.0146
20	0	0.999	0.999	0.999	0.999	0.999	0.999
21	0	0.9893	0.9854	0.9854	0.9072	0.7354	0.1006
22	0	0.999	0.9951	0.9795	0.8994	0.499	0.249
23	0	0.999	0.999	0.999	0.749	0.249	0.0146
28	0	0.7998	0.7197	0.6885	0.4697	0.1963	0.0479
31	0	0.9971	0.9697	0.9697	0.8994	0.8896	0.2295
33	0	0.999	0.999	0.999	0.749	0.001	0.001
34	0	0.999	0.9951	0.9678	0.9248	0.8643	0.8408
46	0	0.9932	0.9893	0.9795	0.6006	0.124	0.0303
47	0	0.999	0.999	0.999	0.9893	0.7002	0.0303
48	0	0.9365	0.7393	0.7471	0.2354	0.1182	0.0244
49	0	0.999	0.999	0.8994	0.6885	0.0615	0.0029
50	0	0.8994	0.9229	0.499	0.249	0.124	0.0615
53	0	0.9971	0.9951	0.9971	0.9951	0.9795	0.4951
55	0	0.999	0.9912	0.9932	0.9912	0.9502	0.624
56	0	0.9912	0.9951	0.9932	0.96	0.7002	0.165
57	0	0.999	0.9893	0.9795	0.9502	0.8506	0.7002
59	0	0.9971	0.9893	0.9893	0.9893	0.249	0.001
60	0	0.999	0.999	0.999	0.999	0.7998	0.501
61	0	0.9502	0.96	0.9619	0.9697	0.999	0.6553
63	0	0.7881	0.749	0.499	0.4697	0.124	0.0615
64	0	0.9854	0.8994	0.8506	0.5967	0.0303	0.0303
65	0	0.9893	0.9756	0.9658	0.9541	0.8955	0.1943
67	0	0.751	0.7432	0.6885	0.376	0.124	0.001
1	1	0.96	0.96	0.874	0.5498	0.249	0.1006
4	1	0.7393	0.7002	0.6006	0.4971	0.4971	0.3994
7	1	0.8896	0.4053	0.1396	0.0146	0.001	0.001
8	1	0.999	0.499	0.8389	0.2393	0.1709	0.0674
9	1	0.501	0.4873	0.499	0.499	0.499	0.001
13	1	0.8486	0.8506	0.7998	0.7998	0.7002	0.0498
14	1	0.8545	0.4873	0.374	0.249	0.0615	0.0811
16	1	0.999	0.9893	0.9854	0.8994	0.751	0.249
18	1	0.7178	0.499	0.1045	0.499	0.0146	0.1104
24	1	0.999	0.9443	0.8994	0.7021	0.501	0.001
25	1	0.6885	0.1963	0.0615	0.0068	0.001	0.001
26	1	0.7998	0.876	0.7979	0.751	0.0459	0.251
27	1	0.749	0.499	0.499	0.374	0.3115	0.1553
30	1	0.8994	0.8994	0.7822	0.499	0.1182	0.001
32	1	0.4365	0.499	0.7588	0.3506	0.001	0.249
35	1	0.1025	0.0615	0.0615	0.0615	0.0068	0.001
37	1	0.124	0.249	0.376	0.2354	0.2236	0.2178
38	1	0.8896	0.749	0.751	0.6494	0.6475	0.0947
39	1	0.249	0.6084	0.3584	0.501	0.001	0.001
41	1	0.4502	0.3506	0.4795	0.2002	0.0205	0.0029
42	1	0.876	0.751	0.7002	0.9385	0.251	0.0166
43	1	0.9971	0.499	0.499	0.499	0.001	0.001
45	1	0.5908	0.376	0.0615	0.0068	0.001	0.001
51	1	0.9346	0.749	0.7158	0.8975	0.9932	0.501
52	1	0.3115	0.2002	0.0498	0.0068	0.0107	0.0107
54	1	0.876	0.8037	0.8779	0.499	0.124	0.001
58	1	0.999	0.999	0.8896	0.7393	0.4854	0.2002
62	1	0.9854	0.9268	0.8994	0.7998	0.0303	0.0029
66	1	0.249	0.249	0.249	0.249	0.249	0.0068
68	1	0.999	0.9795	0.9893	0.8916	0.751	0.7002
69	1	0.4385	0.6592	0.2939	0.7881	0.6143	0.0342
70	1	0.001	0.001	0.001	0.126	0.001	0.001
